rank,partecipant,total_points,exact_scores,correct_1x2,correct_scorers,correct_own_goals,matches_scored
1,Andrea,14.5,1,2,1,1,5
2,Alessandro,3.5,0,0,1,0,5
3,Edoardo,3.5,0,0,1,0,5
4,Ferdinando,3.5,0,0,1,0,5
5,Gabriele,3.5,0,0,1,0,5
6,Peppe,3.5,0,0,1,0,5
7,Salvatore Sca.,3.5,0,0,1,0,5
8,Salvatore Sch.,3.5,0,0,1,0,5
9,Simone,3.5,0,0,1,0,5
10,Vins,3.5,0,0,1,0,5
