match_id,stato_avanzamento_torneo,group,match_day,datetime,home_team,away_team,home_score,away_score,real_scorers,lock_timestamp,real_autogol_squadra_1,real_autogol_squadra_2
49,Group Stage,B,3,2026-06-24 21:00,Bosnia and Herzegovina,Qatar,,,,2026-06-24 21:00:00,False,False
50,Group Stage,B,3,2026-06-24 21:00,Switzerland,Canada,,,,2026-06-24 21:00:00,False,False
51,Group Stage,C,3,2026-06-25 00:00,Morocco,Haiti,,,,2026-06-24 21:00:00,False,False
52,Group Stage,C,3,2026-06-25 00:00,Scotland,Brazil,,,,2026-06-24 21:00:00,False,False
53,Group Stage,A,3,2026-06-25 03:00,Czechia,Mexico,,,,2026-06-24 21:00:00,False,False
54,Group Stage,A,3,2026-06-25 03:00,South Africa,South Korea,,,,2026-06-24 21:00:00,False,False
55,Group Stage,E,3,2026-06-25 22:00,Curaçao,Côte d'Ivoire,,,,2026-06-24 21:00:00,False,False
56,Group Stage,E,3,2026-06-25 22:00,Ecuador,Germany,,,,2026-06-24 21:00:00,False,False
57,Group Stage,F,3,2026-06-26 01:00,Japan,Sweden,,,,2026-06-24 21:00:00,False,False
58,Group Stage,F,3,2026-06-26 01:00,Tunisia,Netherlands,,,,2026-06-24 21:00:00,False,False
59,Group Stage,D,3,2026-06-26 04:00,Paraguay,Australia,,,,2026-06-24 21:00:00,False,False
60,Group Stage,D,3,2026-06-26 04:00,Türkiye,USA,,,,2026-06-24 21:00:00,False,False
61,Group Stage,I,3,2026-06-26 21:00,Norway,France,,,,2026-06-24 21:00:00,False,False
62,Group Stage,I,3,2026-06-26 21:00,Senegal,Iraq,,,,2026-06-24 21:00:00,False,False
63,Group Stage,H,3,2026-06-27 02:00,Cabo Verde,Saudi Arabia,,,,2026-06-24 21:00:00,False,False
64,Group Stage,H,3,2026-06-27 02:00,Uruguay,Spain,,,,2026-06-24 21:00:00,False,False
65,Group Stage,G,3,2026-06-27 05:00,Egypt,Iran,,,,2026-06-24 21:00:00,False,False
66,Group Stage,G,3,2026-06-27 05:00,New Zealand,Belgium,,,,2026-06-24 21:00:00,False,False
67,Group Stage,L,3,2026-06-27 23:00,Croatia,Ghana,,,,2026-06-24 21:00:00,False,False
68,Group Stage,L,3,2026-06-27 23:00,Panama,England,,,,2026-06-24 21:00:00,False,False
69,Group Stage,K,3,2026-06-28 01:30,Colombia,Portugal,,,,2026-06-24 21:00:00,False,False
70,Group Stage,K,3,2026-06-28 01:30,Congo,Uzbekistan,,,,2026-06-24 21:00:00,False,False
71,Group Stage,J,3,2026-06-28 04:00,Algeria,Austria,,,,2026-06-24 21:00:00,False,False
72,Group Stage,J,3,2026-06-28 04:00,Jordan,Argentina,,,,2026-06-24 21:00:00,False,False
