partecipant,match_id,datetime,group,stato_avanzamento_torneo,match_day,lock_timestamp,home_team,away_team,home_score,away_score,real_scorers,real_autogol_squadra_1,real_autogol_squadra_2,pred_home_score,pred_away_score,pred_result,pred_scorer,pred_autogol_squadra_1,pred_autogol_squadra_2,exact_score_points,result_1x2_points,scorer_points,own_goal_points,total_points
Alessandro,24,2026-06-18 04:00,K,Group Stage,1,2026-06-11 21:00:00,Uzbekistan,Colombia,1,3,FAYZULLAEV Abbosbek;CAMPAZ Jaminton;DIAZ Luis;MUNOZ Daniel,False,False,0,1,2,SUAREZ Luis,False,False,0.0,2.0,0.0,0.0,2.0
Alessandro,25,2026-06-18 18:00,A,Group Stage,2,2026-06-18 18:00:00,Czechia,South Africa,1,1,SADILEK Michal;MOKOENA Teboho,False,False,2,1,1,PROVOD Lukas,False,False,0.0,0.0,0.0,0.0,0.0
Alessandro,26,2026-06-18 21:00,B,Group Stage,2,2026-06-18 18:00:00,Switzerland,Bosnia and Herzegovina,4,1,MANZAMBI Johan;VARGAS Ruben;MAHMIC Ermin;XHAKA Granit,False,False,2,0,1,EMBOLO Breel,False,False,0.0,2.0,0.0,0.0,2.0
Alessandro,27,2026-06-19 00:00,B,Group Stage,2,2026-06-18 18:00:00,Canada,Qatar,6,0,DAVID Jonathan;LARIN Cyle;SALIBA Nathan,False,True,2,0,1,DAVID Jonathan,False,False,0.0,2.0,3.5,0.0,5.5
Alessandro,28,2026-06-19 03:00,A,Group Stage,2,2026-06-18 18:00:00,Mexico,South Korea,1,0,ROMO Luis,False,False,1,1,X,ALVARADO Roberto,False,False,0.0,0.0,0.0,0.0,0.0
Alessandro,29,2026-06-19 21:00,D,Group Stage,2,2026-06-18 18:00:00,USA,Australia,2,0,FREEMAN Alex,False,True,2,1,1,PULISIC Christian,False,False,0.0,2.0,0.0,0.0,2.0
Alessandro,30,2026-06-20 00:00,C,Group Stage,2,2026-06-18 18:00:00,Scotland,Morocco,0,1,SAIBARI Ismael,False,False,2,2,X,McTOMINAY Scott,False,False,0.0,0.0,0.0,0.0,0.0
Alessandro,31,2026-06-20 02:30,C,Group Stage,2,2026-06-18 18:00:00,Brazil,Haiti,3,0,MATHEUS CUNHA;VINICIUS JUNIOR,False,False,3,0,1,RAPHINHA,False,False,5.0,2.0,0.0,0.0,7.0
Alessandro,32,2026-06-20 05:00,D,Group Stage,2,2026-06-18 18:00:00,Türkiye,Paraguay,0,1,GALARZA Matias,False,False,2,1,1,CALHANOGLU Hakan,False,False,0.0,0.0,0.0,0.0,0.0
Alessandro,33,2026-06-20 19:00,F,Group Stage,2,2026-06-18 18:00:00,Netherlands,Sweden,5,1,BROBBEY Brian;GAKPO Cody;SUMMERVILLE Crysencio;ELANGA Anthony,False,False,1,1,X,MALEN Donyell,False,False,0.0,0.0,0.0,0.0,0.0
Alessandro,34,2026-06-20 22:00,E,Group Stage,2,2026-06-18 18:00:00,Germany,Côte d'Ivoire,2,1,KESSIE Franck;UNDAV Deniz,False,False,2,0,1,MUSIALA Jamal,False,False,0.0,2.0,0.0,0.0,2.0
Alessandro,35,2026-06-21 02:00,E,Group Stage,2,2026-06-18 18:00:00,Ecuador,Curaçao,0,0,,False,False,2,0,1,PLATA Gonzalo,False,False,0.0,0.0,0.0,0.0,0.0
Alessandro,36,2026-06-21 06:00,F,Group Stage,2,2026-06-18 18:00:00,Tunisia,Japan,0,4,ITO Junya;KAMADA Daichi;UEDA Ayase,False,False,2,1,1,SKHIRI Ellyes,False,False,0.0,0.0,0.0,0.0,0.0
Alessandro,37,2026-06-21 18:00,H,Group Stage,2,2026-06-18 18:00:00,Spain,Saudi Arabia,4,0,OYARZABAL Mikel;YAMAL Lamine,False,True,3,0,1,GAVI,False,False,0.0,2.0,0.0,0.0,2.0
Alessandro,38,2026-06-21 21:00,G,Group Stage,2,2026-06-18 18:00:00,Belgium,Iran,0,0,,False,False,2,0,1,ONANA Amadou,False,False,0.0,0.0,0.0,0.0,0.0
Alessandro,39,2026-06-22 00:00,H,Group Stage,2,2026-06-18 18:00:00,Uruguay,Cabo Verde,2,2,KEVIN PINA;HELIO VARELA;ARAUJO Maxi;CANOBBIO Agustin,False,False,1,0,1,NUNEZ Darwin,False,False,0.0,0.0,0.0,0.0,0.0
Alessandro,40,2026-06-22 03:00,G,Group Stage,2,2026-06-18 18:00:00,New Zealand,Egypt,1,3,SURMAN Finn;MOSTAFA ZICO;TREZEGUET;MOHAMED SALAH,False,False,0,2,2,MOHAMED SALAH,False,False,0.0,2.0,3.5,0.0,5.5
Alessandro,41,2026-06-22 19:00,J,Group Stage,2,2026-06-18 18:00:00,Argentina,Austria,2,0,MESSI Lionel,False,False,2,0,1,MARTINEZ Lautaro,False,False,5.0,2.0,0.0,0.0,7.0
Alessandro,42,2026-06-22 23:00,I,Group Stage,2,2026-06-18 18:00:00,France,Iraq,3,0,DEMBELE Ousmane;MBAPPE Kylian,False,False,4,0,1,MBAPPE Kylian,False,False,0.0,2.0,3.5,0.0,5.5
Alessandro,43,2026-06-23 02:00,I,Group Stage,2,2026-06-18 18:00:00,Norway,Senegal,3,2,HAALAND Erling;HOLMGREN PEDERSEN Marcus;SARR Ismaila,False,False,2,0,1,HAALAND Erling,False,False,0.0,2.0,3.5,0.0,5.5
Alessandro,44,2026-06-23 05:00,J,Group Stage,2,2026-06-18 18:00:00,Jordan,Algeria,1,2,NIZAR ALRASHDAN;BENBOUALI Nadhir;GOUIRI Amine,False,False,0,2,2,GOUIRI Amine,False,False,0.0,2.0,3.5,0.0,5.5
Alessandro,45,2026-06-23 19:00,K,Group Stage,2,2026-06-18 18:00:00,Portugal,Uzbekistan,5,0,CRISTIANO RONALDO;NUNO MENDES;RAFAEL LEAO,False,True,1,0,1,CRISTIANO RONALDO,False,False,0.0,2.0,3.5,0.0,5.5
Alessandro,46,2026-06-23 22:00,L,Group Stage,2,2026-06-18 18:00:00,England,Ghana,0,0,,False,False,2,0,1,KANE Harry,False,False,0.0,0.0,0.0,0.0,0.0
Alessandro,47,2026-06-24 01:00,L,Group Stage,2,2026-06-18 18:00:00,Panama,Croatia,0,1,BUDIMIR Ante,False,False,0,1,2,PASALIC Mario,False,False,5.0,2.0,0.0,0.0,7.0
Alessandro,48,2026-06-24 04:00,K,Group Stage,2,2026-06-18 18:00:00,Colombia,Congo,1,0,MUNOZ Daniel,False,False,1,1,X,RODRIGUEZ James,False,False,0.0,0.0,0.0,0.0,0.0
Alessandro,49,2026-06-24 21:00,B,Group Stage,3,2026-06-24 21:00:00,Bosnia and Herzegovina,Qatar,3,1,ALAJBEGOVIC Kerim;BAJRAKTAREVIC Esmir;HASSAN ALHAYDOS,False,True,2,1,1,DZEKO Edin,False,False,0.0,2.0,0.0,0.0,2.0
Alessandro,50,2026-06-24 21:00,B,Group Stage,3,2026-06-24 21:00:00,Switzerland,Canada,2,1,MANZAMBI Johan;VARGAS Ruben;DAVID Promise,False,False,1,1,X,EMBOLO Breel,False,False,0.0,0.0,0.0,0.0,0.0
Alessandro,51,2026-06-25 00:00,C,Group Stage,3,2026-06-24 21:00:00,Morocco,Haiti,4,2,ISIDOR Wilson;SAIBARI Ismael;HAKIMI Achraf;RAHIMI Sou;YASSINE Gessime,True,False,3,0,1,EL KHANNOUSS Bilal,False,False,0.0,2.0,0.0,0.0,2.0
Alessandro,52,2026-06-25 00:00,C,Group Stage,3,2026-06-24 21:00:00,Scotland,Brazil,0,3,MATHEUS CUNHA;VINICIUS JUNIOR,False,False,1,3,2,VINICIUS JUNIOR,False,False,0.0,2.0,3.5,0.0,5.5
Alessandro,53,2026-06-25 03:00,A,Group Stage,3,2026-06-24 21:00:00,Czechia,Mexico,0,3,CHAVEZ Mateo;FIDALGO Alvaro;QUINONES Julian,False,False,1,2,2,GIMENEZ Santiago,False,False,0.0,2.0,0.0,0.0,2.0
Alessandro,54,2026-06-25 03:00,A,Group Stage,3,2026-06-24 21:00:00,South Africa,South Korea,1,0,MASEKO Thapelo,False,False,0,2,2,SON Heungmin,False,False,0.0,0.0,0.0,0.0,0.0
Alessandro,55,2026-06-25 22:00,E,Group Stage,3,2026-06-24 21:00:00,Curaçao,Côte d'Ivoire,0,2,PEPE Nicolas,False,False,0,2,2,KESSIE Franck,False,False,5.0,2.0,0.0,0.0,7.0
Alessandro,56,2026-06-25 22:00,E,Group Stage,3,2026-06-24 21:00:00,Ecuador,Germany,2,1,SANE Leroy;ANGULO Nilson;PLATA Gonzalo,False,False,1,2,2,MUSIALA Jamal,False,False,0.0,0.0,0.0,0.0,0.0
