rank,partecipant,total_points,exact_scores,correct_1x2,correct_scorers,correct_own_goals,matches_scored
1,Andrea,7,1,1,0,0,1
2,Peppe,7,1,1,0,0,1
3,Alessandro,0,0,0,0,0,1
4,Edoardo,0,0,0,0,0,1
5,Ferdinando,0,0,0,0,0,1
6,Gabriele,0,0,0,0,0,1
7,Salvatore Sca.,0,0,0,0,0,1
8,Salvatore Sch.,0,0,0,0,0,1
9,Simone,0,0,0,0,0,1
10,Vins,0,0,0,0,0,1
